Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Sika Interplant,523606,,Engineering,853.35,70.45,1809.18,29.73,11.95,22.62,58.45,14.60,125.38,25.82,2.81,2.42,0.00,22.15,6.00,17.39,14.47,11.95,96.08,2.49,80.34,2.12,301.19,1784.20,0.00,71.72,1.89,14.78,5.00,18.70
Sikko Industries,,SIKKO,Pesticides / Agrochemicals - Indian,80.68,30.38,176.21,20.67,1.86,15.71,15.11,5.34,30.07,39.77,2.60,2.01,0.12,8.12,7.00,6.74,15.75,2.66,29.96,1.95,140.27,2.18,53.48,180.15,0.00,54.96,4.92,4.05,2.00,8.36
Silicon Rental,543615,,Miscellaneous,214.00,18.77,244.37,29.17,12.56,22.60,68.20,3.14,139.47,15.63,1.74,0.23,0.20,6.59,5.00,20.32,66.31,12.68,26.75,1.74,151.94,1.14,546.15,255.70,0.00,66.69,7.28,-19.74,4.00,19.24
Silver Touch,543525,SILVERTUC,Computers - Software - Medium / Small,798.05,45.59,1012.01,22.45,17.51,18.01,105.44,7.57,203.80,56.82,1.86,1.37,0.33,9.64,4.00,7.61,27.85,17.51,30.87,1.85,107.37,1.27,294.20,1038.05,2.92,74.53,3.26,-36.73,4.00,10.69
Sirca Paints,543686,SIRCA,Trading,273.35,31.57,1498.20,24.00,9.39,17.87,59.11,4.62,107.32,37.94,6.37,2.15,0.00,10.03,5.00,16.49,30.34,8.66,28.96,4.01,76.87,5.48,182.55,1428.94,0.00,67.55,4.50,12.39,4.00,15.48
Siyaram Silk,503811,SIYSIL,Textiles - Processing,724.45,16.54,3286.84,20.42,43.80,16.36,284.00,2.55,529.05,11.86,2.64,0.72,0.20,6.05,4.00,8.95,5.27,43.80,25.07,1.74,85.55,4.54,549.76,3543.25,0.00,67.44,8.26,402.77,5.00,11.36
SJS Enterprises,543387,SJS,Plastics Products,1091.40,29.03,3419.70,23.10,37.61,19.19,216.17,5.05,427.69,26.06,2.88,,0.05,9.21,8.00,15.63,27.16,37.61,26.80,2.39,84.03,3.13,842.37,3436.01,4.29,21.61,4.61,261.66,4.00,14.32
SKF India,500472,SKFINDIA,Bearings,4574.80,39.97,22616.88,28.83,114.45,21.43,525.50,8.71,1163.27,40.95,2.82,2.41,0.00,13.82,4.00,11.50,10.30,114.45,29.96,1.86,62.95,4.94,1585.50,21904.98,0.00,52.58,3.49,1153.27,3.00,15.68
SNL Bearings,505827,,Bearings,386.50,12.85,139.53,22.19,30.07,17.05,187.84,2.06,356.50,13.24,10.68,0.58,0.00,6.40,8.00,21.22,5.57,30.07,29.96,8.33,68.02,0.36,412.71,138.46,0.00,74.39,10.22,18.52,6.00,15.34
Sobhagya Mercant,512014,,Diversified - Medium / Small,401.15,21.70,336.97,33.71,18.49,24.43,95.14,4.22,198.94,8.87,1.81,1.01,0.08,5.75,5.00,9.68,34.07,18.49,21.27,1.79,244.03,0.84,927.12,342.23,0.00,75.02,7.27,-17.40,4.00,11.97
Sodhani Academy,544257,,Miscellaneous,273.50,40.46,155.76,47.34,6.76,37.58,24.46,11.18,61.00,32.26,4.39,,0.00,20.38,5.00,108.45,24.04,6.76,26.75,4.39,1.03,0.57,267.93,155.06,0.00,73.49,3.13,5.83,6.00,37.02
Solar Industries,532725,SOLARINDS,Chemicals,14025.00,113.09,126912.30,32.47,92.38,30.90,419.32,33.45,1081.70,49.18,1.53,4.01,0.32,33.40,7.00,15.77,34.12,124.02,113.09,1.00,50.81,9.05,1788.48,127820.59,1.52,73.15,1.33,1057.96,5.00,18.25
Solarium Green,544354,,Engineering - Turnkey Services,292.30,32.78,609.43,19.96,8.92,22.98,67.85,4.31,116.67,4.94,2.42,,0.48,7.37,4.00,8.08,11.20,8.92,33.15,2.01,144.20,2.08,325.72,600.42,0.00,58.34,4.33,-70.27,2.00,11.93
Sona BLW Precis.,543300,SONACOMS,Auto Ancillaries,542.85,54.95,33749.96,18.72,9.67,15.08,88.38,6.14,138.67,76.36,6.94,1.68,0.04,11.01,5.00,17.32,18.51,9.67,26.23,6.31,72.59,62.17,296.80,32650.59,0.00,28.02,2.60,931.53,3.00,11.81
Sona Machinery,,SONAMAC,Engineering,98.00,13.16,134.50,35.52,7.63,27.26,49.63,1.97,91.19,12.03,2.07,,0.03,4.98,4.00,10.99,151.15,7.45,34.05,1.39,36.53,1.37,607.93,125.35,0.00,73.59,10.65,4.06,5.00,18.31
South. Magnesium,513498,,Mining / Minerals / Metals,142.25,10.59,42.68,48.56,11.10,41.34,42.13,3.38,112.85,12.78,2.18,0.54,0.19,7.73,3.00,35.16,67.64,13.43,17.64,0.60,119.10,0.30,226.00,43.91,0.00,50.94,12.43,-1.01,4.00,32.33
SP Refractories,,SPRL,Refractories / Intermediates,142.00,14.28,25.41,17.60,8.72,16.05,64.10,2.22,119.77,22.63,2.23,0.29,0.33,6.02,8.00,5.41,3.89,9.95,39.71,1.50,81.21,0.18,149.73,29.22,0.00,69.42,9.89,-3.23,4.00,9.39
Spectrum Electr.,544386,SPECTRUM,Electric Equipment,1735.40,124.64,2708.37,16.11,12.64,15.07,114.57,15.15,189.45,133.50,1.59,5.61,0.52,16.15,6.00,6.01,29.41,13.92,44.87,0.90,90.77,1.56,154.80,2799.76,0.00,72.53,1.42,-33.11,5.00,6.89
Spectrum Foods,531982,,Food - Processing - Indian,28.99,,69.68,104.02,0.55,203.05,18.68,1.55,,28.54,3.52,,0.01,4.14,7.00,6.95,36.32,-0.30,31.16,1.10,20.78,2.40,,70.16,0.00,46.96,-1.08,9.61,5.00,9.55
Spright Agro,531205,,Trading,3.51,14.42,376.10,38.61,0.11,35.66,1.16,3.03,2.52,13.92,37.75,,0.00,9.89,5.00,16.03,503.32,0.24,28.96,35.41,106.47,107.15,4.75,376.35,0.00,0.00,7.17,-20.90,5.00,32.04
Sreechem Resins,514248,,Chemicals,44.00,,18.48,22.22,5.87,18.63,33.79,1.30,8.67,7.67,2.71,,0.12,5.95,6.00,4.44,15.40,0.10,29.91,1.41,56.92,0.42,8.15,20.16,0.00,24.80,6.35,3.43,4.00,12.87
Srigee DLM,544399,,Plastics Products,240.04,48.28,143.39,29.52,6.97,23.61,,,,31.24,1.54,,0.16,13.09,4.00,5.46,,6.97,26.80,0.77,38.51,0.60,,144.53,0.00,45.23,3.06,1.24,2.00,13.23
Srivasavi Adhes.,,SRIVASAVI,Packaging,75.10,15.89,106.45,21.57,3.63,16.36,26.93,2.79,53.52,28.88,2.60,,0.04,6.78,6.00,6.62,11.89,4.73,22.86,1.43,77.93,1.42,98.20,107.71,0.00,73.50,8.60,-10.42,5.00,11.33
SRM Contractors,544158,SRM,Construction,361.20,22.22,828.74,28.07,16.11,27.98,102.71,3.52,199.65,18.71,3.33,,0.16,7.28,6.00,7.88,28.85,17.25,20.84,2.08,33.36,2.29,393.10,808.66,0.00,72.92,7.00,12.62,7.00,14.54
Stallion India,544342,STALLION,Chemicals,76.08,18.67,603.51,19.96,4.08,15.44,37.93,2.01,58.97,30.27,9.45,,0.01,6.76,6.00,8.57,26.63,4.08,29.91,6.35,102.06,7.93,134.02,530.93,0.00,67.90,9.15,-96.03,4.00,12.05
Standard Glass,544333,SGLTL,Engineering,166.88,57.03,3329.12,23.61,32.14,20.74,,,,4.60,2.31,,0.32,10.91,4.00,11.04,,32.14,35.65,1.38,103.91,19.95,,3406.50,0.00,60.41,2.69,-138.78,2.00,11.85
Stellant Secu.,526071,,Finance & Investments,122.80,7.05,9.09,106.67,17.42,81.90,29.98,4.10,108.40,7.45,45.20,0.18,0.00,12.24,7.00,71.27,,17.42,21.48,36.80,0.00,0.07,115.38,7.25,0.00,62.42,23.17,1.22,7.00,79.63
Storage Tech,544171,,Engineering,102.50,15.38,131.61,45.66,6.74,67.63,31.67,3.24,80.25,21.20,2.35,,0.20,6.61,6.00,6.51,24.58,9.04,34.05,1.77,126.13,1.28,139.48,139.11,0.00,70.09,10.43,2.95,5.00,12.07
Stylam Industrie,526951,STYLAMIND,Miscellaneous,1739.90,22.47,2948.79,33.46,75.76,27.06,353.59,4.92,782.44,23.83,5.69,0.83,0.01,10.90,7.00,14.04,23.99,76.95,41.09,3.78,64.72,1.69,844.81,2882.50,0.00,52.19,6.03,131.19,5.00,22.40
Sumitomo Chemi.,542920,SUMICHEM,Pesticides / Agrochemicals - Indian,538.45,52.41,26876.50,20.83,7.41,15.33,54.35,9.91,112.08,52.75,3.00,3.17,0.01,14.33,6.00,13.04,2.34,10.27,29.96,2.46,91.09,49.91,165.16,26267.86,0.00,75.00,2.65,1075.90,4.00,11.10
Sumuka Agro,532070,,Trading,258.30,49.48,183.58,58.15,5.99,48.05,21.44,12.05,45.35,31.62,1.70,0.59,0.04,11.25,6.00,9.88,274.05,4.26,47.36,1.64,141.68,0.71,184.32,184.10,0.00,27.71,3.44,-6.84,4.00,24.11
Sun Pharma.Inds.,524715,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1734.90,35.30,416260.62,17.32,39.91,16.69,288.06,6.02,555.75,30.21,2.67,1.51,0.04,10.19,9.00,20.67,13.13,47.65,30.75,2.09,84.67,239.93,703.17,409817.57,0.88,54.48,3.41,20408.88,2.00,12.08
Sungarner Energ.,,SEL,Electric Equipment,319.20,45.69,74.01,17.19,4.49,16.31,44.72,7.14,83.84,69.17,1.76,,0.73,8.26,4.00,5.95,48.79,6.99,44.87,1.06,162.57,0.23,172.05,81.45,0.00,61.49,3.38,-9.82,4.00,7.28
Sunrise Efficie.,543515,,Trading,214.90,36.02,322.35,28.04,5.41,22.06,30.04,7.15,63.50,14.28,3.17,,0.23,12.00,5.00,7.08,63.64,5.97,28.96,2.09,83.32,1.50,265.87,332.59,0.00,52.96,3.96,-16.98,4.00,15.39
Supreme Inds.,509930,SUPREMEIND,Plastics Products,3681.90,48.67,46770.02,22.95,75.64,17.84,445.61,8.26,870.87,36.10,2.36,3.14,0.01,13.88,5.00,9.20,10.36,75.64,26.80,1.35,18.87,12.70,1726.34,45893.37,0.00,48.85,2.73,1450.69,3.00,14.00
Supreme Petroch.,500405,SPLPETRO,Petrochemicals,695.75,33.50,13082.98,23.94,20.77,18.38,118.66,5.86,235.47,20.71,1.91,1.09,0.06,9.58,7.00,6.48,6.18,20.77,19.87,1.24,23.83,18.80,547.98,12750.71,0.00,64.24,4.22,306.53,3.00,11.99
Supriya Lifesci.,543434,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,696.60,32.13,5606.43,22.15,14.80,15.73,112.56,6.19,234.33,23.87,5.48,1.30,0.01,11.96,8.00,20.88,13.39,21.68,30.75,4.05,71.47,8.05,648.04,5527.63,0.00,68.30,4.33,-87.67,4.00,13.68
Suraj Estate,544054,SURAJEST,Construction,314.20,14.83,1501.04,28.70,15.22,22.97,119.41,2.63,245.81,30.74,2.37,0.13,0.79,4.02,6.00,16.37,19.76,22.49,33.68,0.98,94.45,4.78,593.19,1902.17,0.00,69.60,11.90,241.06,6.00,5.88
Suraksha Diagno.,544293,SURAKSHA,Healthcare,303.65,59.77,1581.43,17.22,353.33,15.83,38.34,7.92,552.09,0.80,2.13,8.80,0.43,10.33,9.00,12.11,16.00,353.33,48.04,1.95,15.28,5.21,449.73,1618.19,0.00,48.78,2.79,77.60,5.00,9.06
Suyog Telematics,537259,SUYOG,Transmisson Line Towers / Equipment,931.80,14.37,1006.58,21.62,59.38,23.77,328.90,2.83,694.90,13.27,2.49,0.84,0.46,4.72,8.00,38.00,8.13,65.25,14.37,2.36,101.19,1.08,1174.96,1156.07,7.21,49.69,8.43,-53.75,4.00,12.92
Suzlon Energy,532667,SUZLON,Electric Equipment,61.08,70.66,82692.20,24.93,0.49,28.77,3.32,18.39,7.95,101.77,1.71,3.58,0.06,16.19,7.00,11.06,24.96,0.85,44.87,0.93,102.28,1353.83,6.28,82191.08,0.00,13.25,1.69,1556.10,4.00,11.37
Swaraj Engines,500407,SWARAJENG,Engines,4107.70,30.06,4989.81,56.58,136.64,42.14,345.09,11.90,1030.01,20.23,1.96,1.59,0.00,16.77,6.00,9.87,13.90,136.64,30.06,1.64,38.46,1.21,2922.74,4816.10,0.00,52.12,4.64,371.13,7.00,27.01
Swojas Foods,530217,,Food - Processing - MNC,23.04,24.94,71.33,73.27,,57.43,,,,,5.63,0.21,0.18,24.13,4.00,3.98,,,60.33,2.83,17.55,,,72.20,0.00,55.82,5.64,-3.49,6.00,44.34
TAC Infosec,,TAC,Computers - Software - Medium / Small,1357.15,108.65,1422.24,39.08,12.49,38.48,51.46,26.37,120.26,84.78,3.77,1.11,0.03,37.39,3.00,55.73,66.27,12.49,30.87,3.77,210.55,1.05,321.20,1394.63,0.00,56.94,1.00,7.86,3.00,31.36
Talbros Auto.,505160,TALBROAUTO,Auto Ancillaries,270.20,18.97,1667.89,21.42,17.82,17.18,96.44,2.80,203.34,13.62,1.56,0.78,0.16,5.37,6.00,9.99,20.55,19.06,26.23,1.12,98.64,6.17,291.51,1712.88,0.00,58.43,7.45,47.10,4.00,10.28
Tanfac Inds.,506854,,Chemicals,3222.30,36.46,3214.24,41.57,88.37,32.50,312.76,10.30,788.59,14.18,2.29,0.93,0.13,15.84,6.00,15.83,20.27,88.37,29.91,1.45,65.05,1.00,1995.09,3217.80,0.00,51.81,3.77,-37.80,5.00,24.24
Taparia Tools,505685,,Castings & Forgings,19.96,0.25,30.30,43.95,65.73,32.84,228.63,0.09,638.51,0.10,4.38,0.01,0.00,5.24,7.00,11.63,15.62,79.26,28.60,2.77,34.48,1.52,1302.95,28.21,0.00,69.72,567.42,231.13,7.00,25.41
Tata Elxsi,500408,TATAELXSI,Computers - Software - Medium / Small,6212.00,49.29,38691.16,36.22,126.03,29.26,459.18,13.53,1141.07,54.06,5.28,2.00,0.07,21.16,5.00,21.05,14.71,126.03,30.87,5.28,95.09,6.23,2500.92,37277.06,0.00,43.91,2.81,1837.18,2.00,23.18
TBI Corn,,TBI,Food - Processing - Indian,101.85,16.89,184.94,24.57,7.55,33.89,52.47,1.94,88.97,26.23,2.87,,0.44,5.56,5.00,6.40,,6.71,31.16,1.88,71.50,1.82,244.72,223.81,0.00,56.47,9.02,,4.00,11.30
TCC Concept,512038,,Construction,460.05,58.95,1641.11,28.31,9.64,21.23,193.05,2.38,210.18,46.34,8.06,,0.01,5.59,3.00,26.64,,10.17,33.68,8.06,139.00,3.57,833.52,1506.63,0.00,60.87,2.63,,2.00,17.98
TCS,532540,TCS,Computers - Software - Large,3561.30,26.56,1288509.51,64.63,134.20,52.38,261.90,13.60,889.25,29.70,1.74,3.13,0.10,17.12,4.00,19.10,10.01,134.20,29.96,1.74,84.41,361.81,1619.72,1282438.51,0.00,71.77,5.15,125584.00,4.00,32.07
TD Power Systems,533553,TDPOWERSYS,Electric Equipment,491.30,43.95,7673.30,29.75,11.18,22.30,55.08,8.92,117.70,28.93,2.26,0.79,0.01,11.95,6.00,13.65,17.05,11.18,44.87,1.50,124.83,15.62,192.52,7486.57,0.00,33.22,3.14,96.24,5.00,14.54
Techera,,TECHERA,Engineering,162.10,55.56,267.80,25.86,3.97,64.31,,,,42.45,2.59,,0.34,7.60,7.00,12.44,67.27,3.97,34.05,2.48,164.09,1.65,,269.59,0.00,42.25,2.64,-12.60,0.00,12.61
Techknowgreen,543991,,Miscellaneous,161.35,17.86,119.12,48.30,8.29,36.79,42.74,3.78,93.20,34.66,6.90,,0.00,9.16,4.00,26.31,43.88,9.03,26.75,5.25,92.11,0.74,242.45,117.73,0.00,65.58,8.86,-18.30,5.00,30.30
Technocraf.Inds.,532804,TIIL,Steel - Medium / Small,2816.80,25.76,6467.85,18.68,115.06,17.44,725.57,3.88,1320.05,10.54,1.82,1.42,0.44,6.31,6.00,13.05,19.00,106.74,24.59,1.02,75.95,2.30,1149.11,7022.49,0.00,74.75,5.66,104.10,5.00,11.26
Teerth,,TGL,Construction,319.90,21.75,383.87,75.31,14.45,84.13,60.54,5.28,157.01,34.54,1.66,,0.22,5.81,4.00,11.02,31.45,18.10,20.84,0.97,115.78,1.20,358.35,399.02,0.00,64.61,6.50,3.37,6.00,12.60
Tega Inds.,543413,TEGA,Engineering,1451.30,48.25,9656.30,17.74,30.08,15.46,209.92,6.91,376.91,34.61,2.49,1.95,0.24,10.11,6.00,12.21,19.85,30.08,34.05,1.73,111.61,6.65,666.75,9864.79,0.00,74.80,2.90,455.54,3.00,10.06
The Anup Enginee,542460,ANUP,Engineering,2991.20,51.27,5990.32,24.23,58.35,20.52,304.85,9.81,632.62,16.87,1.88,2.28,0.05,13.08,4.00,16.50,34.94,58.35,34.05,1.36,138.86,2.00,1383.70,6009.26,0.00,40.98,2.40,30.85,3.00,13.58
Thinking,,THESL,Entertainment / Electronic Media Software,38.45,15.54,48.01,37.25,35.28,36.94,,,,1.17,3.62,,0.11,4.57,6.00,11.60,,35.28,35.34,3.62,135.56,1.25,,49.91,0.00,56.79,9.82,3.32,4.00,16.01
Thomas Scott,533941,THOMASCOTT,Textiles - Products,356.65,40.25,451.62,31.24,10.23,30.81,56.59,6.30,115.82,21.21,2.56,0.68,0.29,10.73,4.00,11.07,61.78,10.54,41.13,1.43,98.19,1.27,262.02,470.11,0.00,52.21,3.31,-32.79,5.00,14.63
Thyrocare Tech.,539871,THYROCARE,Healthcare,973.00,56.82,5156.26,26.01,17.27,16.91,103.17,9.43,200.22,36.78,2.77,210.44,0.05,15.10,8.00,13.20,5.29,17.27,48.04,2.39,38.76,5.30,358.83,5126.46,100.00,71.06,2.90,340.96,6.00,13.58
Timescan Logist.,,TIMESCAN,Miscellaneous,47.05,7.75,32.88,24.71,5.41,20.24,31.73,1.48,65.78,13.95,1.69,0.21,0.30,8.30,5.00,1.85,26.60,6.06,24.35,1.69,30.71,0.70,151.61,37.24,0.00,72.94,16.57,-2.49,8.00,10.82
Timex Group,500414,,Miscellaneous,212.75,68.35,2147.71,48.98,3.11,69.21,8.32,25.57,24.14,56.55,1.92,0.84,0.15,17.40,7.00,5.84,26.72,3.11,30.81,0.65,37.08,10.10,59.92,2160.13,0.00,74.93,2.15,35.35,6.00,13.86
Timken India,522113,TIMKEN,Bearings,3096.00,57.93,23287.72,23.36,52.13,17.56,343.51,9.01,642.70,55.94,3.68,2.71,0.01,14.83,6.00,13.44,27.30,53.44,29.96,2.41,81.79,7.52,647.40,22906.98,0.00,51.05,2.37,313.65,3.00,14.11
Tips Music,532375,TIPSMUSIC,Entertainment / Electronic Media Software,637.80,48.95,8153.10,112.44,13.03,85.63,16.39,38.91,69.32,31.94,2.75,0.68,0.02,43.07,8.00,53.61,31.84,13.03,35.34,2.75,32.28,12.78,306.59,8115.34,0.00,64.15,2.75,429.34,6.00,49.11
Titagarh Rail,532966,TITAGARH,Engineering,912.85,42.19,12293.69,24.97,21.25,18.13,174.82,5.22,290.74,47.90,2.33,0.50,0.21,8.53,7.00,7.49,36.33,21.49,35.65,1.72,50.44,13.47,329.98,12220.43,0.06,40.45,3.81,-114.78,2.00,11.00
TPL Plastech,526582,TPLPLASTEH,Packaging,82.95,28.33,647.03,19.01,2.54,15.85,17.17,4.83,33.63,18.68,1.73,2.46,0.21,7.61,8.00,6.23,22.44,2.93,22.86,0.94,63.89,7.80,49.62,667.76,0.00,74.86,5.12,26.01,3.00,8.54
Transport Corp.,532349,TCI,Miscellaneous,1135.20,21.45,8847.99,20.57,52.92,19.84,276.45,4.11,573.75,18.00,3.45,0.96,0.11,8.78,5.00,9.26,11.29,52.92,24.35,3.43,58.66,7.79,798.66,9004.89,0.00,68.81,5.33,275.57,2.00,15.76
Transteel Seatin,,TRANSTEEL,Miscellaneous,127.00,22.04,256.27,23.49,5.51,22.01,40.89,3.11,72.66,10.30,1.78,,0.46,4.96,4.00,15.19,48.11,5.74,30.81,1.44,77.57,2.02,178.52,293.09,0.00,41.73,6.64,-55.23,4.00,9.98
Travels,544242,,Travel Agencies,57.78,21.79,64.73,29.53,3.65,26.77,24.19,2.39,44.56,25.84,4.04,,0.35,4.77,6.00,39.44,55.57,3.65,20.37,1.77,652.44,1.12,119.79,73.66,0.00,62.86,6.52,2.30,3.00,14.43
Trent,500251,TRENT,Trading,5583.00,129.35,198468.65,31.71,43.51,32.20,153.64,36.34,387.83,170.55,1.83,1.73,0.41,37.39,8.00,8.96,56.18,43.51,47.36,0.81,1.34,35.55,991.20,200366.00,0.00,37.01,1.08,2125.86,6.00,18.51
Trident Lifeline,543616,,Pharmaceuticals - Indian - Bulk Drugs & Formln,280.00,30.66,321.98,17.97,10.22,17.89,56.06,4.99,113.52,31.93,1.69,,0.84,5.26,3.00,12.07,58.67,10.22,30.75,1.16,116.18,1.15,300.66,373.55,3.46,63.04,4.71,-62.92,5.00,8.64
Trident Techlabs,,TECHLABS,Computers - Software - Medium / Small,491.40,53.34,849.19,29.22,5.42,31.02,28.95,16.97,77.47,47.60,3.84,,0.49,19.75,6.00,12.90,37.07,9.21,30.87,3.62,299.66,1.73,89.40,858.00,0.00,67.97,2.74,-13.09,4.00,12.16
Triveni Turbine,533655,TRITURBINE,Electric Equipment,605.15,53.85,19236.32,44.22,11.24,32.83,38.27,15.81,98.36,42.14,2.22,2.14,0.03,18.43,8.00,17.88,33.02,11.24,44.87,1.96,66.09,31.79,231.81,18948.92,0.00,55.84,2.59,541.01,5.00,19.44
Trom,,TROM,Electric Equipment,178.00,20.88,163.67,66.33,8.86,77.80,50.31,3.54,107.60,23.38,3.69,,0.08,7.53,6.00,10.55,34.51,10.23,44.87,2.42,82.92,0.92,358.72,158.19,0.00,69.52,7.17,-5.37,6.00,22.58
U P Hotels,509960,,Hotels,1700.00,29.90,918.00,30.53,58.93,23.02,281.07,6.05,599.62,27.26,3.40,0.82,0.01,10.96,7.00,21.33,64.59,56.85,40.37,3.33,18.73,0.54,665.81,865.28,0.00,88.39,4.76,32.49,6.00,18.94
Unihealth Hosp,,UNIHEALTH,Healthcare,153.30,20.95,236.08,20.25,,18.25,,,,,5.31,,0.11,6.06,7.00,21.15,22.98,,48.04,5.16,251.34,,,222.06,0.00,68.93,8.32,9.52,3.00,10.94
Unimech Aero.,544322,UNIMECH,Engineering,1096.65,96.08,5577.22,75.43,13.21,73.75,,,,77.61,2.08,,0.28,54.91,7.00,27.80,,13.21,96.08,1.72,81.89,5.09,,5599.48,0.00,79.82,1.42,-8.79,1.00,43.19
United Spirits,532432,UNITDSPR,Breweries & Distilleries,1540.30,76.33,112033.85,27.87,19.36,20.98,104.93,14.68,213.32,70.61,2.11,4.85,0.07,17.90,8.00,12.16,11.66,19.28,29.88,1.53,98.53,72.74,233.86,111218.85,1.18,56.67,1.89,2425.80,4.00,13.18
Updater Services,543996,UDS,Miscellaneous,306.10,18.90,2049.44,25.66,10.15,22.62,133.47,2.29,222.34,23.72,1.84,,0.18,5.30,7.00,5.65,26.41,16.46,26.75,1.83,75.24,6.70,382.44,2044.47,0.00,58.88,7.22,147.90,5.00,10.14
Upsurge Invest.,531390,,Finance & Investments,85.80,9.37,172.21,29.48,7.43,26.53,51.20,1.68,109.07,12.93,7.92,0.16,0.07,5.57,6.00,19.41,27.05,10.33,21.48,4.01,0.13,2.01,201.46,154.92,0.00,50.62,14.87,-7.60,4.00,23.88
Urban Enviro,,URBAN,Miscellaneous,183.15,14.85,158.61,29.76,8.10,51.65,33.63,5.45,96.38,26.16,1.97,,0.79,6.77,6.00,6.86,86.76,12.28,26.75,1.97,78.22,0.87,218.98,180.60,0.00,51.19,10.06,-13.28,5.00,13.95
Usha Martin,517146,USHAMART,Steel - Medium / Small,311.60,23.37,9495.75,18.81,13.37,15.84,90.30,3.45,164.81,17.10,2.85,-259.67,0.15,6.98,4.00,11.70,8.93,13.37,24.59,1.44,55.43,30.47,179.60,9637.71,0.00,43.89,5.77,448.66,4.00,11.51
UTI AMC,543238,UTIAMC,Finance & Investments,1120.20,19.60,14337.50,21.02,57.16,16.28,359.37,3.12,679.83,19.68,1.54,0.89,0.00,6.19,5.00,43.92,11.96,57.16,21.48,1.54,15.72,12.80,992.20,13833.03,0.00,0.00,7.70,1073.92,5.00,14.78
Utssav,,UTSSAV,Diamond Cutting / Jewellery,258.25,50.21,615.10,23.88,7.65,42.54,46.86,5.51,89.80,29.37,2.99,,0.34,9.90,6.00,3.60,41.44,7.65,33.21,2.37,60.95,2.38,233.24,632.84,0.00,70.52,3.40,-9.20,5.00,12.05
V-Guard Industri,532953,VGUARD,Electric Equipment,375.00,52.09,16341.71,19.72,7.20,16.04,48.14,7.79,88.30,56.71,1.71,4.81,0.06,11.09,8.00,5.62,16.80,7.20,44.87,0.74,35.49,43.58,151.24,16410.73,0.00,54.30,2.67,945.16,4.00,9.67
V.L.Infraproject,,VLINFRA,Construction,47.10,12.05,74.01,39.50,5.43,46.18,24.46,1.93,54.68,10.16,2.36,,0.37,5.43,4.00,5.39,54.79,5.43,20.84,2.29,53.28,1.57,138.43,85.22,0.00,65.39,12.31,-6.09,3.00,14.40
Vadilal Inds.,519156,VADILALIND,Food - Processing - Indian,6814.50,31.41,4899.63,27.14,203.05,30.97,915.18,7.45,2113.81,17.59,2.99,0.92,0.24,11.51,8.00,12.93,34.42,216.99,31.16,1.96,31.39,0.72,2124.53,4963.97,7.57,64.73,4.46,126.06,6.00,16.58
Varun Beverages,540180,VBL,Food - Processing - Indian,501.65,60.94,169651.29,24.85,7.67,22.49,49.12,10.21,96.69,60.58,1.74,1.47,0.17,14.51,6.00,13.44,31.38,8.46,31.16,1.12,15.43,338.19,204.71,170027.49,0.04,60.23,2.41,-1122.28,6.00,14.03
Varyaa Creations,544168,,Trading,60.02,9.52,28.75,192.38,8.75,143.81,49.75,1.21,98.99,7.58,7.06,,0.00,5.05,4.00,14.11,519.52,8.75,28.96,2.89,0.00,0.48,659.92,25.96,0.00,72.03,15.56,0.16,6.00,21.19
Vasa Denticity,,DENTALKART,Trading,633.45,61.61,1052.90,23.17,10.28,17.01,79.80,7.94,135.87,64.81,7.70,0.33,0.00,15.53,3.00,6.86,47.96,10.28,47.34,4.41,20.00,1.66,626.51,1048.78,0.00,66.50,2.22,-35.47,5.00,14.51
Vasundhara Rasy.,538634,,Pharmaceuticals - Indian - Bulk Drugs & Formln,237.75,12.79,75.56,25.06,18.44,19.95,100.50,2.37,205.06,12.10,6.39,0.40,0.06,7.15,7.00,15.85,17.68,18.60,30.75,6.06,61.43,0.32,241.43,67.95,0.00,61.98,12.14,5.17,4.00,16.32
Vdeal,,VDEAL,Electric Equipment,136.50,21.46,66.75,42.29,9.49,64.06,46.83,2.92,100.00,15.20,3.03,,0.16,5.69,7.00,11.86,16.53,9.49,44.87,1.61,174.70,0.49,180.33,68.30,0.00,66.97,7.85,1.75,4.00,14.56
Veritaas,,VERITAAS,Miscellaneous,77.95,12.65,22.01,65.59,8.18,74.89,45.91,1.70,87.01,9.58,2.39,,0.20,4.40,6.00,16.43,65.10,7.33,26.75,2.31,128.37,0.28,388.08,24.31,0.00,65.53,11.56,-2.71,5.00,22.50
Vesuvius India,520113,VESUVIUS,Refractories / Intermediates,5363.40,42.69,10887.70,25.47,130.33,19.30,705.06,7.61,1411.92,31.67,3.12,1.76,0.01,12.67,8.00,13.55,21.29,125.66,39.71,2.47,75.28,2.03,2377.51,10419.06,0.00,55.57,3.24,-85.77,3.00,14.74
